date,beg_balance,pnl,dividend,fees,deposit,withdraw,end_balance
"Nov 2010","47,819.58","+1,128.40","0.22","0.00","0.00","0.00","48,948.20"
"Oct 2010","46,104.28","+1,714.65","0.65","0.00","0.00","0.00","47,819.58"
"Sep 2010","41,843.55","+4,245.00","15.73","0.00","0.00","0.00","46,104.28"
"Aug 2010","43,497.31","-1,655.00","1.24","0.00","0.00","0.00","41,843.55"
"Jul 2010","42,535.78","+960.50","1.03","0.00","0.00","0.00","43,497.31"
"Jun 2010","43,092.71","-572.50","15.57","0.00","0.00","0.00","42,535.78"
"May 2010","46,068.04","-2,975.49","0.16","0.00","0.00","0.00","43,092.71"
"Apr 2010","43,328.76","+2,739.24","0.04","0.00","0.00","0.00","46,068.04"
"Mar 2010","38,583.67","+4,720.23","24.86","0.00","0.00","0.00","43,328.76"
"Feb 2010","35,927.29","+2,656.36","0.02","0.00","0.00","0.00","38,583.67"
"Jan 2010","39,515.59","-3,588.75","0.45","0.00","0.00","0.00","35,927.29"
"Dec 2009","37,406.61","+2,020.99","87.99","0.00","0.00","0.00","39,515.59"
"Nov 2009","35,993.68","+1,411.43","1.50","0.00","0.00","0.00","37,406.61"
"Oct 2009","36,926.34","-933.69","1.03","0.00","0.00","0.00","35,993.68"
"Sep 2009","35,704.28","+1,212.87","9.19","0.00","0.00","0.00","36,926.34"
"Aug 2009","34,167.63","+1,535.52","1.13","0.00","0.00","0.00","35,704.28"
"Jul 2009","30,654.50","+3,511.76","1.37","0.00","0.00","0.00","34,167.63"
"Jun 2009","30,467.80","+147.72","38.98","0.00","0.00","0.00","30,654.50"
"May 2009","23,420.41","+2,042.66","4.73","0.00","5,000.00","0.00","30,467.80"
"Apr 2009","21,275.00","+2,141.99","3.42","0.00","0.00","0.00","23,420.41"
"Mar 2009","18,884.68","+2,378.73","11.59","0.00","0.00","0.00","21,275.00"
"Feb 2009","19,701.63","-821.27","4.32","0.00","0.00","0.00","18,884.68"
"Jan 2009","14,529.46","+166.27","5.90","0.00","5,000.00","0.00","19,701.63"
"Dec 2008","14,632.31","-169.63","66.78","0.00","0.00","0.00","14,529.46"
"Nov 2008","16,472.95","-1,840.77","0.13","0.00","0.00","0.00","14,632.31"
"Oct 2008","19,698.83","-3,226.03","0.15","0.00","0.00","0.00","16,472.95"
"Sep 2008","24,587.55","-4,896.34","7.62","0.00","0.00","0.00","19,698.83"
"Aug 2008","24,295.22","+292.21","0.12","0.00","0.00","0.00","24,587.55"
"Jul 2008","25,849.01","-1,553.90","0.11","0.00","0.00","0.00","24,295.22"
"Jun 2008","28,854.00","-3,012.60","7.61","0.00","0.00","0.00","25,849.01"
"May 2008","26,774.08","+2,072.63","7.29","0.00","0.00","0.00","28,854.00"
