date,beg_balance,pnl,dividend,fees,deposit,withdraw,end_balance
"Feb 2011","1,772.83","+347.50","0.00","0.00","0.00","0.00","2,120.33"
"Jan 2011","1,720.32","+52.50","0.01","0.00","0.00","0.00","1,772.83"
"Dec 2010","1,849.50","-326.70","197.52","0.00","0.00","0.00","1,720.32"
"Nov 2010","1,849.46","0.00","0.04","0.00","0.00","0.00","1,849.50"
"Oct 2010","1,849.38","0.00","0.08","0.00","0.00","0.00","1,849.46"
"Sep 2010","1,849.29","0.00","0.09","0.00","0.00","0.00","1,849.38"
"Aug 2010","1,903.99","-54.78","0.08","0.00","0.00","0.00","1,849.29"
"Jul 2010","1,795.98","+108.00","0.01","0.00","0.00","0.00","1,903.99"
"Jun 2010","1,896.70","-104.40","3.68","0.00","0.00","0.00","1,795.98"
"May 2010","2,074.18","-177.48","0.00","0.00","0.00","0.00","1,896.70"
"Apr 2010","2,049.10","+25.08","0.00","0.00","0.00","0.00","2,074.18"
"Mar 2010","1,892.34","+152.40","4.36","0.00","0.00","0.00","2,049.10"
"Feb 2010","1,812.59","+79.73","0.02","0.00","0.00","0.00","1,892.34"
"Jan 2010","1,812.47","0.00","0.12","0.00","0.00","0.00","1,812.59"
"Dec 2009","1,812.32","0.00","0.15","0.00","0.00","0.00","1,812.47"
"Nov 2009","1,812.15","0.00","0.17","0.00","0.00","0.00","1,812.32"
"Oct 2009","2,033.15","-221.05","0.05","0.00","0.00","0.00","1,812.15"
"Sep 2009","1,844.88","+174.00","14.27","0.00","0.00","0.00","2,033.15"
"Aug 2009","1,759.56","+85.00","0.32","0.00","0.00","0.00","1,844.88"
"Jul 2009","1,758.91","0.00","0.65","0.00","0.00","0.00","1,759.56"
"Jun 2009","1,758.08","0.00","0.83","0.00","0.00","0.00","1,758.91"
"May 2009","1,757.03","0.00","1.05","0.00","0.00","0.00","1,758.08"
"Apr 2009","1,755.85","0.00","1.18","0.00","0.00","0.00","1,757.03"
"Mar 2009","1,754.44","0.00","1.41","0.00","0.00","0.00","1,755.85"
"Feb 2009","1,752.95","0.00","1.49","0.00","0.00","0.00","1,754.44"
"Jan 2009","1,750.56","0.00","2.39","0.00","0.00","0.00","1,752.95"
"Dec 2008","1,747.56","0.00","3.00","0.00","0.00","0.00","1,750.56"
"Nov 2008","1,744.00","0.00","3.56","0.00","0.00","0.00","1,747.56"
"Oct 2008","1,739.84","0.00","4.16","0.00","0.00","0.00","1,744.00"
"Sep 2008","1,736.24","0.00","3.60","0.00","0.00","0.00","1,739.84"
"Aug 2008","1,732.65","0.00","3.59","0.00","0.00","0.00","1,736.24"
"Jul 2008","1,729.10","0.00","3.55","0.00","0.00","0.00","1,732.65"
