
Plan name:,FMR PROFIT SHARING  
Date Range,01/01/2013 - 12/31/2013,,,,


Date,Investment,Transaction Type,Amount,Shares/Unit
05/15/2013,FID REAL ESTATE INC,CONTRIBUTION,"175.00","14.182"
05/01/2013,FID SEL FINANCIAL,CONTRIBUTION,"350.00","5.130"
05/01/2013,FID SEL CONSTR/HOUSE,CONTRIBUTION,"175.00","3.304"
05/01/2013,FID REAL ESTATE INC,CONTRIBUTION,"175.00","14.356"
04/30/2013,FIMM MONEY MKT INST,Exchanges,"-25,000.00","-25,000.000"
04/30/2013,FIMM MONEY MKT INST,Dividends and Interest,"9.19","9.190"
04/30/2013,FID SEL BIOTECH,Exchanges,"10,000.00","71.409"
04/30/2013,FID NEW MARKETS INC,Dividends and Interest,"79.91","4.564"
04/30/2013,FID JAPAN SMALL CO,Exchanges,"15,000.00","1,136.363"
04/30/2013,FID CAPITAL &amp; INCOME,Dividends and Interest,"61.26","6.213"
04/17/2013,FID SEL FINANCIAL,CONTRIBUTION,"350.00","5.338"
04/17/2013,FID SEL CONSTR/HOUSE,CONTRIBUTION,"175.00","3.376"
04/17/2013,FID REAL ESTATE INC,CONTRIBUTION,"175.00","14.522"
04/12/2013,FID SEL TECHNOLOGY,Dividends and Interest,"85.49","0.821"
04/12/2013,FID SEL MEDICAL DEL,Dividends and Interest,"659.48","10.624"
04/12/2013,FID SEL FINANCIAL,Dividends and Interest,"13.22","0.197"
04/12/2013,FID SEL CONSTR/HOUSE,Dividends and Interest,"36.95","0.689"
04/12/2013,FID SEL CONS STAPLES,Dividends and Interest,"1,351.82","15.152"
04/12/2013,FID SEL BIOTECH,Dividends and Interest,"6.64","0.048"
04/03/2013,FID SEL FINANCIAL,CONTRIBUTION,"350.00","5.386"
04/03/2013,FID SEL CONSTR/HOUSE,CONTRIBUTION,"175.00","3.360"
04/03/2013,FID REAL ESTATE INC,CONTRIBUTION,"175.00","14.608"
03/28/2013,FIMM MONEY MKT INST,Dividends and Interest,"10.20","10.200"
03/28/2013,FID NEW MARKETS INC,Dividends and Interest,"82.17","4.783"
03/28/2013,FID CAPITAL &amp; INCOME,Dividends and Interest,"64.86","6.672"
