Date,Investment,Type,Amount,Shares,,
06/30/2011,FID INFLAT PROT BOND,Dividends and Interest,8.50,0.70,,
05/04/2011,FID SEL WIRELESS,CONTRIBUTION,127.40,15.17,,
05/04/2011,FID SEL TECHNOLOGY,CONTRIBUTION,127.40,1.25,,
05/04/2011,FID SEL ENERGY,CONTRIBUTION,127.40,2.19,,
05/04/2011,FID SEL CONS STAPLES,CONTRIBUTION,127.40,1.75,,
05/04/2011,FID LATIN AMERICA,CONTRIBUTION,127.40,2.22,,
04/29/2011,FID NEW MARKETS INC,Dividends and Interest,55.48,3.52,,
05/31/2011,FID INFLAT PROT BOND,Dividends and Interest,8.93,0.74,,
04/29/2011,FID HIGH INCOME,Dividends and Interest,31.01,3.36,,
04/29/2011,FID CAPITAL &amp; INCOME,Dividends and Interest,54.79,5.51,,
04/20/2011,FID SEL WIRELESS,CONTRIBUTION,127.40,15.33,,
04/20/2011,FID SEL TECHNOLOGY,CONTRIBUTION,127.40,1.24,,
04/20/2011,FID SEL ENERGY,CONTRIBUTION,127.40,2.10,,
04/20/2011,FID SEL CONS STAPLES,CONTRIBUTION,127.40,1.79,,
04/20/2011,FID LATIN AMERICA,CONTRIBUTION,127.40,2.13,,
04/15/2011,FID SEL CONS STAPLES,Dividends and Interest,317.84,4.49,,
04/06/2011,FID SEL WIRELESS,CONTRIBUTION,127.40,15.44,,
04/06/2011,FID SEL TECHNOLOGY,CONTRIBUTION,127.40,1.25,,
04/06/2011,FID SEL NATURAL RES,Dividends and Interest,25.98,0.65,,
04/06/2011,FID SEL ENERGY,Dividends and Interest,8.09,0.13,,
04/06/2011,FID SEL ENERGY,CONTRIBUTION,127.40,2.07,,
04/06/2011,FID SEL CONS STAPLES,CONTRIBUTION,127.40,1.81,,
04/06/2011,FID LATIN AMERICA,CONTRIBUTION,127.40,2.13,,
03/31/2011,FID NEW MARKETS INC,Dividends and Interest,55.59,3.56,,
05/11/2011,FID INFLAT PROT BOND,Dividends and Interest,57.01,4.73,,
03/31/2011,FID HIGH INCOME,Dividends and Interest,31.53,3.44,,
03/31/2011,FID CAPITAL &amp; INCOME,Dividends and Interest,55.66,5.69,,
03/23/2011,FID SEL WIRELESS,CONTRIBUTION,127.40,15.85,,
03/23/2011,FID SEL TECHNOLOGY,CONTRIBUTION,127.40,1.30,,
03/23/2011,FID SEL ENERGY,CONTRIBUTION,127.40,2.13,,
03/23/2011,FID SEL CONS STAPLES,CONTRIBUTION,127.40,1.88,,
03/23/2011,FID LATIN AMERICA,CONTRIBUTION,127.40,2.22,,
03/09/2011,FID SEL WIRELESS,CONTRIBUTION,127.40,15.44,,
03/09/2011,FID SEL TECHNOLOGY,CONTRIBUTION,127.40,1.26,,
03/09/2011,FID SEL ENERGY,CONTRIBUTION,127.40,2.16,,
03/09/2011,FID SEL CONS STAPLES,CONTRIBUTION,127.40,1.86,,
03/09/2011,FID LATIN AMERICA,CONTRIBUTION,127.40,2.24,,
02/28/2011,FID NEW MARKETS INC,Dividends and Interest,49.22,3.19,,
04/29/2011,FID INFLAT PROT BOND,Dividends and Interest,8.08,0.67,,
02/28/2011,FID HIGH INCOME,Dividends and Interest,27.67,3.01,,
02/28/2011,FID CAPITAL &amp; INCOME,Dividends and Interest,50.41,5.13,,
02/23/2011,FID SEL WIRELESS,CONTRIBUTION,127.40,15.83,,
02/23/2011,FID SEL TECHNOLOGY,CONTRIBUTION,127.40,1.28,,
02/23/2011,FID SEL ENERGY,CONTRIBUTION,127.40,2.14,,
02/23/2011,FID SEL CONS STAPLES,CONTRIBUTION,127.40,1.89,,
02/23/2011,FID LATIN AMERICA,CONTRIBUTION,127.40,2.29,,
02/09/2011,FID SEL WIRELESS,CONTRIBUTION,127.40,15.41,,
02/09/2011,FID SEL TECHNOLOGY,CONTRIBUTION,127.40,1.23,,
02/09/2011,FID SEL ENERGY,CONTRIBUTION,127.40,2.24,,
02/09/2011,FID SEL CONS STAPLES,CONTRIBUTION,127.40,1.88,,
02/09/2011,FID LATIN AMERICA,CONTRIBUTION,127.40,2.32,,
01/31/2011,FID NEW MARKETS INC,Dividends and Interest,39.46,2.55,,
03/31/2011,FID INFLAT PROT BOND,Dividends and Interest,9.28,0.78,,
01/31/2011,FID HIGH INCOME,Dividends and Interest,21.50,2.36,,
