
Plan name:,FMR PROFIT SHARING  
Date Range,01/01/2012 - 12/31/2012,,,,


Date,Investment,Transaction Type,Amount,Shares/Unit
02/08/2012,FID SEL CONSTR/HOUSE,CONTRIBUTION,"129.96","3.274"
02/08/2012,FID REAL ESTATE INVS,CONTRIBUTION,"129.94","4.306"
02/08/2012,FID EMEA,CONTRIBUTION,"129.96","14.684"
01/31/2012,FID NEW MARKETS INC,Dividends and Interest,"66.18","4.103"
01/31/2012,FID INFLAT PROT BOND,Dividends and Interest,"5.48","0.420"
01/31/2012,FID HIGH INCOME,Dividends and Interest,"45.56","5.125"
01/31/2012,FID CAPITAL &amp; INCOME,Dividends and Interest,"62.54","6.956"
01/25/2012,FID SEL FINANCIAL,CONTRIBUTION,"259.92","4.684"
01/25/2012,FID SEL CONSTR/HOUSE,CONTRIBUTION,"129.96","3.324"
01/25/2012,FID REAL ESTATE INVS,CONTRIBUTION,"129.94","4.420"
01/25/2012,FID EMEA,CONTRIBUTION,"129.96","15.638"
01/18/2012,FID NEW MARKETS INC,CONTRIBUTION,"5,171.12","327.079"
01/18/2012,FID INFLAT PROT BOND,CONTRIBUTION,"5,171.12","401.173"
01/18/2012,FID HIGH INCOME,CONTRIBUTION,"4,432.38","505.979"
01/11/2012,FID SEL FINANCIAL,CONTRIBUTION,"259.92","4.894"
01/11/2012,FID SEL CONSTR/HOUSE,CONTRIBUTION,"129.96","3.466"
01/11/2012,FID REAL ESTATE INVS,CONTRIBUTION,"129.94","4.644"
01/11/2012,FID EMEA,CONTRIBUTION,"129.96","16.326"
