"Date","Investment","Transaction Type","Amount","Shares/Unit"
"12/01/2021","FID DISRUPT AUTOMTN","Contributions",391.35,20.018
"11/30/2021","FIMM MMKT INST","Dividends and Interest",1.22,1.22
"11/26/2021","FIMM MMKT INST","Exchanges",-15000,-15000
"11/26/2021","FID DISRUPT AUTOMTN","Exchanges",15000,765.697
"11/17/2021","FIMM MMKT INST","Contributions",1006.34,1006.34
"11/17/2021","FIMM MMKT INST","Exchanges",-20000,-20000
"11/17/2021","FID DISRUPT AUTOMTN","Contributions",391.35,19.09
"11/17/2021","FID DISRUPT AUTOMTN","Exchanges",20000,975.61
"11/12/2021","FID SEL AIR TRANSPRT","Change in Market Value",-14481.8,0
"11/12/2021","FID SEL AIR TRANSPRT","Exchanges",-121817.07,-2115.177
"11/12/2021","FID SEL TRANSPORT","Exchanges",121817.07,1143.071
"01/31/2022","FIMM MMKT INST","Dividends and Interest",1.5,1.5
"01/26/2022","FID SEL BIOTECH","REVENUE CREDIT",199.77,12.765
"01/26/2022","FID SEL LEISURE","REVENUE CREDIT",128.21,8.033
"01/26/2022","FID SEL MED TECH&DV","REVENUE CREDIT",136.22,2
"01/26/2022","FID SEL BANKING","REVENUE CREDIT",148.51,4.769
"01/26/2022","FID SEL TRANSPORT","REVENUE CREDIT",57.08,0.568
"01/26/2022","FID ENV ALT ENERGY","REVENUE CREDIT",99.88,3.244
"01/26/2022","FIMM MMKT INST","REVENUE CREDIT",15.85,15.85
"01/26/2022","FID DIVIDEND GR K","REVENUE CREDIT",82.35,2.464
"01/26/2022","FID INFRASTRUCTURE","REVENUE CREDIT",62.41,5.249
"01/26/2022","FID DISRUPT AUTOMTN","REVENUE CREDIT",93.25,5.398
"01/19/2022","FIMM MMKT INST","Contributions",18498,18498
"01/12/2022","FIMM MMKT INST","Contributions",4327.51,4327.51
"01/12/2022","FID DISRUPT AUTOMTN","Contributions",3365.84,172.43
"12/31/2021","FIMM MMKT INST","Dividends and Interest",1.33,1.33
