Date,Open,High,Low,Close,Adj Close,Volume
2018-10-09,48.570000,48.570000,48.570000,48.570000,47.863358,0
2018-10-10,46.590000,46.590000,46.590000,46.590000,45.912163,0
2018-10-11,45.220001,45.220001,45.220001,45.220001,44.562096,0
2018-10-12,45.630001,45.630001,45.630001,45.630001,44.966129,0
2018-10-15,45.310001,45.310001,45.310001,45.310001,44.650787,0
2018-10-16,45.930000,45.930000,45.930000,45.930000,45.261765,0
2018-10-17,45.290001,45.290001,45.290001,45.290001,44.631077,0
2018-10-18,44.790001,44.790001,44.790001,44.790001,44.138351,0
2018-10-19,44.180000,44.180000,44.180000,44.180000,43.537228,0
2018-10-22,43.689999,43.689999,43.689999,43.689999,43.054352,0
2018-10-23,42.380001,42.380001,42.380001,42.380001,41.763416,0
2018-10-24,40.480000,40.480000,40.480000,40.480000,39.891056,0
2018-10-25,41.070000,41.070000,41.070000,41.070000,40.472473,0
2018-10-26,40.820000,40.820000,40.820000,40.820000,40.226109,0
2018-10-29,39.680000,39.680000,39.680000,39.680000,39.102695,0
2018-10-30,40.580002,40.580002,40.580002,40.580002,39.989605,0
2018-10-31,40.849998,40.849998,40.849998,40.849998,40.255676,0
2018-11-01,41.139999,41.139999,41.139999,41.139999,40.541454,0
2018-11-02,40.689999,40.689999,40.689999,40.689999,40.098003,0
2018-11-05,41.509998,41.509998,41.509998,41.509998,40.906071,0
2018-11-06,41.520000,41.520000,41.520000,41.520000,40.915928,0
2018-11-07,42.509998,42.509998,42.509998,42.509998,41.891521,0
2018-11-08,41.340000,41.340000,41.340000,41.340000,40.738544,0
2018-11-09,41.310001,41.310001,41.310001,41.310001,40.708984,0
2018-11-12,40.020000,40.020000,40.020000,40.020000,39.437752,0
2018-11-13,39.029999,39.029999,39.029999,39.029999,38.462154,0
2018-11-14,38.990002,38.990002,38.990002,38.990002,38.422737,0
2018-11-15,39.770000,39.770000,39.770000,39.770000,39.191387,0
2018-11-16,40.200001,40.200001,40.200001,40.200001,39.615131,0
2018-11-19,39.900002,39.900002,39.900002,39.900002,39.319496,0
2018-11-20,38.400002,38.400002,38.400002,38.400002,37.841320,0
2018-11-21,39.200001,39.200001,39.200001,39.200001,38.629681,0
2018-11-23,37.840000,37.840000,37.840000,37.840000,37.289471,0
2018-11-26,38.520000,38.520000,38.520000,38.520000,37.959572,0
2018-11-27,38.230000,38.230000,38.230000,38.230000,37.673794,0
2018-11-28,38.759998,38.759998,38.759998,38.759998,38.196079,0
2018-11-29,39.110001,39.110001,39.110001,39.110001,38.540989,0
2018-11-30,38.810001,38.810001,38.810001,38.810001,38.245354,0
2018-12-03,39.790001,39.790001,39.790001,39.790001,39.211098,0
2018-12-04,38.490002,38.490002,38.490002,38.490002,37.930012,0
2018-12-06,37.619999,37.619999,37.619999,37.619999,37.072666,0
2018-12-07,37.610001,37.610001,37.610001,37.610001,37.062817,0
2018-12-10,36.860001,36.860001,36.860001,36.860001,36.323727,0
2018-12-11,36.919998,36.919998,36.919998,36.919998,36.382851,0
2018-12-12,37.250000,37.250000,37.250000,37.250000,36.708054,0
2018-12-13,37.090000,37.090000,37.090000,37.090000,36.550381,0
2018-12-14,35.560001,35.560001,35.560001,35.560001,35.510818,0
2018-12-17,34.750000,34.750000,34.750000,34.750000,34.701939,0
2018-12-18,33.970001,33.970001,33.970001,33.970001,33.923019,0
2018-12-19,33.660000,33.660000,33.660000,33.660000,33.613445,0
2018-12-20,32.630001,32.630001,32.630001,32.630001,32.584873,0
2018-12-21,32.049999,32.049999,32.049999,32.049999,32.005672,0
2018-12-24,30.760000,30.760000,30.760000,30.760000,30.717457,0
2018-12-26,32.990002,32.990002,32.990002,32.990002,32.944374,0
2018-12-27,33.150002,33.150002,33.150002,33.150002,33.104153,0
2018-12-28,32.860001,32.860001,32.860001,32.860001,32.814552,0
2018-12-31,33.099998,33.099998,33.099998,33.099998,33.054218,0
2019-01-02,33.849998,33.849998,33.849998,33.849998,33.803181,0
2019-01-03,33.619999,33.619999,33.619999,33.619999,33.573502,0
2019-01-04,34.980000,34.980000,34.980000,34.980000,34.931622,0
2019-01-07,35.560001,35.560001,35.560001,35.560001,35.510818,0
2019-01-08,35.820000,35.820000,35.820000,35.820000,35.770458,0
2019-01-09,36.450001,36.450001,36.450001,36.450001,36.399590,0
2019-01-10,36.590000,36.590000,36.590000,36.590000,36.539394,0
2019-01-11,36.259998,36.259998,36.259998,36.259998,36.209846,0
