Date,Investment,Type,Amount,Shares
01/08/2014,FID SEL GOLD,Exchanges,"13,948.65","758.903"
01/08/2014,FID SEL GOLD,CONTRIBUTION,"353.50","19.232"
01/08/2014,FID SEL FINANCIAL,CONTRIBUTION,"212.10","2.574"
01/08/2014,FID SEL CONSTR/HOUSE,CONTRIBUTION,"141.40","2.608"
01/08/2014,FID REAL ESTATE INVS,Exchanges,"-4,522.05","-140.262"
01/08/2014,FID REAL ESTATE INVS,Change in Market Value,"174.50","0.000"
01/08/2014,FID NEW MARKETS INC,Exchanges,"-20,171.60","-1,297.209"
01/08/2014,FID NEW MARKETS INC,Dividends and Interest,"22.01","1.415"
01/08/2014,FID NEW MARKETS INC,Change in Market Value,"-144.44","0.000"
01/08/2014,FID FREEDOM K 2030,Exchanges,"20,171.60","1,277.492"
01/08/2014,FID EMEA,Exchanges,"-4,524.63","-504.419"
01/08/2014,FID EMEA,Change in Market Value,"147.32","0.000"
01/08/2014,FID CHINA REGION,Exchanges,"-9,267.48","-274.348"
01/08/2014,FID CHINA REGION,Change in Market Value,"574.39","0.000"
01/08/2014,FID CAPITAL &amp; INCOME,Exchanges,"4,524.63","457.495"
